"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"41","SGUT504_06272014_BMI_RWB_1","SGUT504","2014-06-27 00:00:00",2014,1,0.89468182,34.2377,-117.8203,"Los Angeles",22522843,c(-117.8203, 34.2377),24.5598167566972,28.0961565560903,12.9460713907812,14.4032626558044,9.79184387259161,0
"42","SGUT505_06182012_BMI_RWB_1","SGUT505","2012-06-18 00:00:00",2012,1,0.87831202,34.16939,-117.88932,"Los Angeles",22524699,c(-117.88932, 34.16939),24.8476040685706,29.5789574063309,12.8650557459141,14.1497666501863,10.2437238584023,0
"43","SGUT505_06262014_BMI_RWB_1","SGUT505","2014-06-26 00:00:00",2014,1,0.77753806,34.16939,-117.88932,"Los Angeles",22524699,c(-117.88932, 34.16939),24.6451957803426,29.5542353504545,14.1843540333959,15.0192110241427,10.2783520849337,0
"44","SMC00080_06062012_BMI_RWB_MCM_1","SMC00080","2012-06-06 00:00:00",2012,1,0.81551254,34.32909,-118.08188,"Los Angeles",22514376,c(-118.08188, 34.32909),23.924588065589,29.0469822994835,10.1991662067611,17.2049564024536,11.2846128393275,0
"45","SMC00080_06132011_BMI_RWB_1","SMC00080","2011-06-13 00:00:00",2011,1,0.843948,34.32909,-118.08188,"Los Angeles",22514376,c(-118.08188, 34.32909),22.6705565300533,27.9078532265262,9.06333033470363,14.8343890066352,11.4465569275211,0
"46","SMC00080_07082010_BMI_RWB_1","SMC00080","2010-07-08 00:00:00",2010,1,0.74151309,34.32909,-118.08188,"Los Angeles",22514376,c(-118.08188, 34.32909),22.3099508543814,28.7120775196416,10.2479082838106,15.9024843374658,11.4613182683292,0
"47","SMC00096_06252008_BMI_RWB_MCM_1","SMC00096","2008-06-25 00:00:00",2008,1,0.27124297,34.09451,-117.78462,"Los Angeles",22524741,c(-117.78462, 34.09451),23.901794579823,34.5650221830918,12.2679027701912,20.8919138531814,15.410877619185,121
"48","SMC00144_06202008_BMI_RWB_MCM_1","SMC00144","2008-06-20 00:00:00",2008,1,0.83214964,34.26705,-117.78759,"Los Angeles",22524639,c(-117.78759, 34.26705),24.6286026955514,31.6973015877243,10.4777409316035,20.06699676896,13.2177592355411,32
"49","SMC00190_06252008_BMI_RWB_MCM_1","SMC00190","2008-06-25 00:00:00",2008,1,0.41910671,34.01488,-118.04783,"Los Angeles",22521017,c(-118.04783, 34.01488),22.9741239749516,36.480933722554,13.564517456078,22.6930579393274,17.1056862362993,144
"50","SMC00208_06182008_BMI_RWB_MCM_1","SMC00208","2008-06-18 00:00:00",2008,1,0.93067029,34.24464,-117.90908,"Los Angeles",22522819,c(-117.90908, 34.24464),24.4850839513906,29.9880636408363,10.5283169756271,18.3248627937661,11.6315658904975,0
"51","SMC00236_06252008_BMI_RWB_MCM_1","SMC00236","2008-06-25 00:00:00",2008,1,0.42452059,34.08951,-117.94783,"Los Angeles",22523203,c(-117.94783, 34.08951),24.4640006706204,34.6725896377575,13.4431029583291,20.4989917062978,14.8449731178672,124
"52","SMC00254_06262008_BMI_RWB_MCM_1","SMC00254","2008-06-26 00:00:00",2008,1,0.22453787,33.83758,-118.05377,"Orange",22524983,c(-118.05377, 33.83758),21.4545594609671,36.4350104989784,13.5901880612002,22.8448224377782,17.5367741013269,143
"53","SMC00288_06042014_BMI_RWB_1","SMC00288","2014-06-04 00:00:00",2014,1,0.60065819,34.13118,-117.76,"Los Angeles",22524733,c(-117.76, 34.13118),23.3969658650516,34.1619397783877,13.2977387494203,20.3303211569811,15.7048712617995,131
"54","SMC00288_06182009_BMI_RWB_1","SMC00288","2009-06-18 00:00:00",2009,1,0.68849689,34.13118,-117.76,"Los Angeles",22524733,c(-117.76, 34.13118),23.9702634673059,34.8314496767882,13.1925693055123,18.5815626729369,15.3798825628047,110
"55","SMC00318_06152010_BMI_RWB_1","SMC00318","2010-06-15 00:00:00",2010,1,0.37778711,33.81287,-118.20558,"Los Angeles",22518274,c(-118.20558, 33.81287),20.3361171639179,27.6755587574955,15.1174509229142,11.5562722641862,9.57925913386874,0
"56","SMC00382_06232009_BMI_RWB_1","SMC00382","2009-06-23 00:00:00",2009,1,0.36177986,34.04437,-117.99413,"Los Angeles",22521717,c(-117.99413, 34.04437),23.6001773430831,31.3874748627065,14.3232437364369,14.5005517299208,11.0285970761153,15
"57","SMC00428_05152014_BMI_RWB_1","SMC00428","2014-05-15 00:00:00",2014,1,0.6848604,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),21.9316536255612,27.8014083395629,11.0305845925282,15.8265410996513,11.4614124659331,0
"58","SMC00428_06192014_BMI_RWB_1","SMC00428","2014-06-19 00:00:00",2014,1,0.68717724,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),21.9316536255612,27.8014083395629,11.0305845925282,15.8265410996513,11.4614124659331,0
"59","SMC00428_07022008_BMI_RWB_MCM_1","SMC00428","2008-07-02 00:00:00",2008,1,0.82040955,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),23.051306280524,28.6750042197739,9.39839361689018,18.0937975739536,11.5208562548834,0
"60","SMC00428_07102013_BMI_RWB_1","SMC00428","2013-07-10 00:00:00",2013,1,0.93757149,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),22.5084011884281,29.5734886343519,10.0224891111222,17.2988285568158,11.6648070312472,0
"61","SMC00428_07182012_BMI_RWB_1","SMC00428","2012-07-18 00:00:00",2012,1,0.9461674,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),23.0118463623655,28.3174417173409,9.95949324609019,16.9471764449366,11.4635803882785,0
"62","SMC00428_07222010_BMI_RWB_1","SMC00428","2010-07-22 00:00:00",2010,1,0.78620397,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),21.7117014132043,28.4477610799,10.6919616128696,15.9278907572286,11.5696157935186,0
"63","SMC00428_08032011_BMI_RWB_1","SMC00428","2011-08-03 00:00:00",2011,1,0.90730392,34.2481,-118.04976,"Los Angeles",22521703,c(-118.04976, 34.2481),21.8939398856236,27.4805044007931,9.10921805636675,14.599982502069,11.625865110941,0
"64","SMC00436_05262009_BMI_RWB_1","SMC00436","2009-05-26 00:00:00",2009,1,0.61026644,34.149,-118.27863,"Los Angeles",22514960,c(-118.27863, 34.149),24.1599926873869,33.3353966399901,14.3802825588983,16.7721864770636,12.9007812183689,46
"65","SMC00440_05202009_BMI_RWB_1","SMC00440","2009-05-20 00:00:00",2009,1,0.80838389,34.28658,-118.52966,"Los Angeles",22515786,c(-118.52966, 34.28658),24.2274711757932,34.8601144084526,13.4129378911161,19.1777313831146,15.4992417266868,111
"66","SMC00446_07012010_BMI_RWB_1","SMC00446","2010-07-01 00:00:00",2010,1,0.47742784,34.02018,-118.04627,"Los Angeles",22521007,c(-118.04627, 34.02018),21.8057668074647,35.4839650290926,14.1281425265978,20.3829206522414,16.9819962311946,147
"67","SMC00464_05082009_BMI_RWB_1","SMC00464","2009-05-08 00:00:00",2009,1,0.91313955,34.24152,-117.86683,"Los Angeles",22524649,c(-117.86683, 34.24152),24.0991775627442,29.0043736692958,11.9815407542647,13.9678599529368,10.8849745581227,0
"68","SMC00464_06042014_BMI_RWB_1","SMC00464","2014-06-04 00:00:00",2014,1,0.94017642,34.24152,-117.86683,"Los Angeles",22524649,c(-117.86683, 34.24152),23.1966710461837,28.5496043761138,11.9191179796774,15.879518572512,11.2196268871769,0
"69","SMC00476_06082009_BMI_RWB_1","SMC00476","2009-06-08 00:00:00",2009,1,1.14533649,34.24209,-118.13381,"Los Angeles",22515784,c(-118.13381, 34.24209),21.1720517795137,26.651261984896,9.67712285338804,13.5764427366532,10.6077542783632,0
"70","SMC00479_07132011_BMI_RWB_1","SMC00479","2011-07-13 00:00:00",2011,1,0.50638566,34.2634,-119.24095,"Ventura",17587628,c(-119.24095, 34.2634),18.6061614147734,31.2085120157873,12.488454690968,18.7200573248193,15.8514340995398,51
"71","SMC00480_05132009_BMI_RWB_1","SMC00480","2009-05-13 00:00:00",2009,1,1.06334084,34.23434,-117.73155,"Los Angeles",22524653,c(-117.73155, 34.23434),25.0538745232348,28.9432165690847,12.3714520050649,13.1120345889715,10.1195507623843,0
"72","SMC00520_05192009_BMI_RWB_1","SMC00520","2009-05-19 00:00:00",2009,1,0.99567675,34.29626,-118.28252,"Los Angeles",22514474,c(-118.28252, 34.29626),24.0143609617207,29.269563635746,12.2669443131045,14.1221706057815,10.8887036778924,0
"73","SMC00520_06122012_BMI_RWB_1","SMC00520","2012-06-12 00:00:00",2012,1,0.93054362,34.29626,-118.28252,"Los Angeles",22514474,c(-118.28252, 34.29626),23.9839843499984,28.7828471201891,11.1842882953858,16.2841611967844,11.2942623655802,0
"74","SMC00520_06252014_BMI_RWB_1","SMC00520","2014-06-25 00:00:00",2014,1,0.83491799,34.29626,-118.28252,"Los Angeles",22514474,c(-118.28252, 34.29626),23.1402358031642,28.7752889967091,12.7842833437355,15.2037621659147,11.2284579492216,0
